pravilaacestaiaste immmmmsimmmmsimmms
direptătoriudeleagetocmeale immmmmmmmmmsisimmmsimmmmmms
sfințilorapostolitocmitede7 immmmmmmsimmmmmmsimmmmmsisc
săboarăcătrăaceastașiapreacuvioșilor immmmmsimmmsimmmmmsiscimmmmmmmmmmmms
părințiînvățătorilorlumieitipăritu-se-auîntiparnițaprealuminatului immmmmsimmmmmmmmmmmsimmmmsimmmmmmmmmmmmsisimmmmmmmsimmmmmmmmmmmmms
domniomatthei immsisimmmmms
basarabăvoevodăatoată immmmmmsimmmmmscimmms
țaraungro-vlahieiînmănăstireagovora immsimmmmmmmmmmmsisimmmmmmmmsimmmms
văleato7149iarădela isimmmsimmsimmsisis
nașterealuihristos1640predosloviecătrătoți immmmmmsimsimmmmmsimmsimmmmmmmmmsimmmsimms
nastavniciisfinteibisearici immmmmmmmmsimmmmmsimmmmmmms
prealuminațilorarhiepiscopimitropolițilorși immmmmmmmmmmmmsimmmmmmmmmmsimmmmmmmmmmmmsis
iubitorilordedumnezeuepiscopilorși immmmmmmmmsisimmmmmmsimmmmmmmmmsis
preoțilorșituturorduhovnicilorcariicu immmmmmmsisimmmmmsimmmmmmmmmmsimmmsis
putearepreoțeascadeladumnezeusîntsfințiți immmmmsimmmmmmmmsisisimmmmmmsimmsimmmmmms
theofilcumila immmmmsisimms
luidumnezeuarhiepiscopși imsimmmmmmsimmmmmmmmmsis
mitropolitatoatățararumânească immmmmmmmscimmmsimmsimmmmmmmms
paceșispăseniepriimițiduhsfînt immsisimmmmmmsimmmmmmsimsimmms
căroravețilăsapăcatelelăsa-se-vorlorși immmmsimmsimmsimmmmmmsimmmmmmmmmsimsis
cuileveț imsisims
țineaţinea-se-vorlorsocotit-am immmsimmmmmmmmmmsimsimmmmmmmms
cimaitoatelimbăleau isimsimmmsimmmmmsis
carteprelimbalorcuaceaia immmsimsimmmsimsisimmmms
cugetaiuşieurobuldomnuluimieului immmmmmsisisimmmsimmmmmmsimmsims
isushristossă immsimmmmmsis
scoţceastăcarteanume immsimmmmsimmmsimmms
pravilăprelimbarumâneascăsfinţiilor immmmmsimsimmmsimmmmmmmmsimmmmmmmms
voastrefraţiduhovnicirumâneșticariisînteţi immmmmsimmmsimmmmmmmsimmmmmmmsimmmsimmmmms
păstorioilorcelorcuvîntătoareaturmeilui immmmmsimmmsimmmsimmmmmmmmmmscimmmmsims
hristoscareaare immmmmsimmmsims
întrusinemultefeliuri immmsimmsimmmsimmmmms
devindecărisufletelorcreştineșticelor isimmmmmmmsimmmmmmmmsimmmmmmmmmsimmms
cesîntrănitecupăcateînsă isimmsimmmmsisimmmmsimms
maivîrtosşicalelaîmpărăţiiaceriului imsimmmmsisimmsisimmmmmmmmsimmmmmms
însămărog immsisims
sfinţiilorvoastrecumare immmmmmmmsimmmmmsisimms
milălacaremînăva immsisimmsimmsis
cădeaaceastăsfîntăcarteacelasă immmsimmmmmsimmmmsimmmsimmmsis
aibăaoţineaînmarecinste immsccimmmsisimmsimmmms
şisăse isisis
înveţedentruiaîn immmmsimmmmsisis
tainăcumvavindecasufletele immmsimsisimmmmmsimmmmmmms
oamenilordepăcateiarăîntrumînă immmmmmmsisimmmmsimmsimmmsimms
demireansănusedeanice isimmmmsisisisimsimms
lamăscăricisă isimmmmmmmsis
nufietocmealelesfinţilor isimsimmmmmmmmsimmmmmmms
apostolișiasfințilorpărinţi immmmmmsiscimmmmmmmsimmmmms
batjocuritecăapoimilostiviataveri immmmmmmmmsisimmsimmmmmmmmsisimms
dasamăfrateduhovniceeunuvoiu isimmsimmmsimmmmmmmsisisimms
aveatreabăcela immsimmmmsimms
cepriimeaștegîndurileomenești isimmmmmmmmsimmmmmmmsimmmmmms
datoriuiasteiasteîntruscriptură immmmmsimmmsimmmsimmmsimmmmmmms
învăţatafisăseoprească immmmmscisisisimmmmmms
depohtesmeritșiculucrurebune isimmmsimmmmsisisimmmmmsimms
pretotceasul imsimsimmmms
săseroagelui isisimmmsims
dumnezeucasă-ideacuvînt immmmmmsisimmsimsimmmms
deînţelepciunecasăîndirepteazepre isimmmmmmmmmmsisisimmmmmmmmmmsims
ceiacescapăcătredinsuliarăîntr-alt immsisimmmsimmmsimmmmsimmsimmmmmms
chipînsușdatoriu immsimmmsimmmmms
iasteapostimiercurea immmscimmmsimmmmmmms
șivinereaprespretotanul isimmmmmsimmmmmsimsimms
cumporîncescsfinteleşidumnezeeștilepravile imsimmmmmmmsimmmmmmsisimmmmmmmmmmmsimmmmms
cumdecarelevaaveaînsușsă imsisimmmmsisimmsimmmsis
odeași cimsis
altoraafaceiară immmmscimmsimms
devafiînsușneștiutoriu isisisimmmsimmmmmmmmms
șinepustniccumvaînvăţapre isimmmmmmmsimsisimmmmsims
alţiiafacelucrurebuneşicine immmscimmsimmmmmsimmsisimms
eneînţeleptva cimmmmmmmmsis
ascultapreelde immmmmsimsisis
carelevagrăivăzîndpre immmmsisimmsimmmmsims
elfărătocmalăşibeţivși isimmsimmmmmsisimmmsis
învăţîndprealţiisănuseîmbeate immmmmmsimsimmmsisisisimmmmms
saualtvreun imsimsimmms
lucrubunapetreace immmsimscimmmmmms
carelesingurnuaufăcut immmmsimmmmsisisimmms
ochiideurechigrăiaștescripturacu immmsisimmmmsimmmmmmsimmmmmmmsis
aceiasocoteaște-teoduhovnicepentrucecă immmsimmmmmmmmmmmscimmmmmmmsimmmmsisis
devaperi isisimms
numaiooaiepentru immmscimmsimmmms
negrijatadentrumîniletale immmmmsisimmmmsimmmmsimms
sevacăutadeprindece isisimmmsisimmmmsis
zicesfîntioanzlatoustladeanieîn immsimmmsimmsimmmmmmsisimmmmsis
atreianravo cimmmsimmms
ucenieaceastagrăiaștede immmmsimmmmmsimmmmmmsis
sevadelunganumaiunul isisimmmmmsimmmsimms
detainenecuminecataunuau isimmmsimmmmmmmmmsisisis
oborîttoatăspăseniiasaepiscopulsaupopa immmmsimmmsimmmmmmmsisimmmmmmmsimsimms
căsufletuliaste isimmmmmmsimmms
deoperireatîta iscimmmmsimmms
deșertăciunearecîtnicecuvînt immmmmmmmmmsimsimsimmsimmmms
nupoatepuneînaintececu isimmmsimmsimmmmmsisis
socotințășicuiubiredetrudăslujirea immmmmmmsisisimmmmsisimmmsimmmmmms
șilucrullui isimmmmsims
dumnezeuiasteaface immmmmmsimmmscimms
căgrăiaștescripturaprocleatcela isimmmmmmsimmmmmmmsimmmmmmsimms
cefacelucruldomnuluicunegrijă isimmsimmmmsimmmmmmsisimmmmms
iarămarelevasiliegrăiaștesocoteaștesănu immsimmmmsimmmmmsimmmmmmsimmmmmmmmsisis
tetemide isimmsis
omîntrucădearealui isimmmsimmmmmmsims
casănudaipre isisisimsims
fiiulluidumnezeuîntrumîinilecelor immmsimsimmmmmmsimmmsimmmmmsimmms
nedostoinicicasănuteruşinezide immmmmmmmmmsisisisisimmmmmmsis
cinevademarii immmmsisimmms
pămîntuluinicedeînsuş immmmmmmmsimmsisimmms
celacepoartăstemăsă immsisimmmmsimmmsis
nucuminecicăpravileledumnezeeștinu isimmmmmmsisimmmmmmmsimmmmmmmmmsis
lasăpreceinedostoinicisăsecuminece immsimsimsimmmmmmmmmmsisisimmmmmms
cariisesocotesc immmsisimmmmmms
capăgîniiiarăsă isimmmmmsimmsis
nusevorîntoarceamar isisimsimmmmmmsimms
aceloraşiceloracecuminecapre immmmmsisimmmmsisimmmmmmsims
eisocoteșteziceeutreabăn-amtu isimmmmmmmsimmsisimmmmsimmsis
verivedeaaceastea immsimmmsimmmmmms
deveripăziînsă isimmsimmsimms
cusocotinţășicutocmală isimmmmmmmsisisimmmmms
cemainainteînvăţăturilebiseareciineclătite isimsimmmmsimmmmmmmmmmsimmmmmmmmsimmmmmmms
sălepăzeștimîntui-verișipretine isisimmmmmsimmmmmmmmmsisimsimms
şipreceia isimsimms
cetevorasculta isisimsimmmmms
știutsăfiecineva immmsisimsimmsis
îndrăzniapriimicugeteleșiispovedaniile immmmmmscimmmmsimmmmmmsisimmmmmmmmmmms
fărăînvăţăturaepiscopuluiaceluilocacelapedeapsa immsimmmmmmmmsimmmmmmmmmsimmmmsimsimmmsimmmmmms
pravilelorvapriimi immmmmmmmsisimmmms
cauncălcătoriua isisimmmmmmmmsc
dumnezeeștilorpravilecănunumai immmmmmmmmmmmsimmmmmsisisimmms
presinese-aupierdutceși imsimmsimmmsimmmmmsisis
cîțise-auispoveditlaelneispovedițisînt immsimmmsimmmmmmmsisisimmmmmmmmmmsimms
șicîtau isimsis
legatșidezlegatneîndereptați immmsisimmmmmmsimmmmmmmmmmms
sîntdupăa6pravilă immsimmsccimmmmms
asăboruluidecarthaghinșidupă cimmmmmmmsisimmmmmmmmsisimms
43aceluiașsăborpravilasvetiiapostolși isimmmmmmsimmmsimmmmmsimmmmsimmmmmsis
asfințilorde cimmmmmmmsis
alșaptelesăborpreaogodnicii isimmmmmsimmmsimmmmmmmmmmms
șidedumnezeupurtătoriipărinţii isisimmmmmmsimmmmmmmmsimmmmmms
noştrideepiscopişidepreoți immmmsisimmmmmmsisisimmmms
șidecălugărişideoamenimireani isisimmmmmmsisisimmmmsimmmmms
şidetoate isisimmms
învăţăturileazpetruşi immmmmmmmmmsisimmmsis
pavelapostoliiluihristosînvăţăm immmsimmmmmmmsimsimmmmmsimmmmms
prerobiiluihristosdelucrul imsimmmsimsimmmmmsisimmmms
omenescceiastealucraînşase immmmmsisimmmscimmmsisimms
zilelunişi immsimmsis
marţişimiercurişi immmsisimmmmmmsis
joişivinerişisîmbătă imsisimmmmsisimmmmms
pînăamiazăzisaupînăîn immsimmmmsisimsimmsis
altreileceasdezisausîmbătă isimmmmsimmsisisimsimmmmms
toatăzioasă immmsimmsis
seîndeletniceascădetoate isimmmmmmmmmmmmmsisimmms
lucrurilecealegrealeşisă-ș immmmmmmsimmmsimmmmsisimms
tocmescăcasăşisefacăpamete immmmmmsimmsisisimmsimmmms
morţilorlorşisepriimeascăstrainiciişi immmmmmsimsisisimmmmmmmmsimmmmmmmmsis
să-iospeteazeca immsimmmmmmmsis
săseumpleliubovul isisimmmsimmmmmms
dumnezeesccăsîmbătaaredar immmmmmmmsisimmmmmsimsims
dezidireşiderăpaosse isimmmmsisisimmmmsis
cheamăiarăduminecaiasteîntîiuzia immmmsimmsimmmmmmsimmmsimmmmsisc
ludumnezeudar isimmmmmmsims
deînviiaredireptaceaia isimmmmmmsimmmmsimmmms
învățămvațămdeaceastăzi immmmmsimmmsisimmmmmsis
săsefereascăşisăse isisimmmmmmsisisis
cinsteascăiarăsîmbătădiînaloptul immmmmmmmsimmsimmmmmsisisisimmms
ceassăse immsisis
opreascădetoatelucrurile immmmmmsisimmmsimmmmmmms
demarileșidemicile isimmmmsisisimmmms
șilabisearecăsăscapetoţi isisimmmmmmmsisimmmsimms
oameniicumuierile-şşicufecioriilor immmmmsisimmmmmmmmsisisimmmmmmsims
șiîntr-însăcu isimmmmmmmsis
fricaludumnezeuşi immmsisimmmmmmsis
culuare-de-amintesăsepriveaghe isimmmmmmmmmmmmmsisisimmmmmmms
rugîndu-setocmaşipînăduminecădimineaţa immmmmmmmsimmmsisimmsimmmmmmsimmmmmmms
iarădeacasevalăsasfîntaletorghie immsimmmsisisimmsimmmmsimmmmmmms
de-ciiasămargă immmmmsisimmms
acasășisăse immmsisisis
odihneascăpînălunidimineaţași immmmmmmmsimmsimmsimmmmmmmsis
iarădenaldoileceasde immsimsisimmmsimmsis
ziseînceapăalucraotrojdstvea isisimmmmmscimmmsisimmmmmmms
hveadeprazdnicul immsisimmmmmmmms
născutuluiaşijdereasăse immmmmmmmsimmmmmmmsisis
ţieşisăsecinstească imsisisisimmmmmmmms
caşiduminecacădeaceasta isisimmmmmmsisisimmmmms
dăruidomnulnostruisushristosspăsenielumiei immmsimmmmsimmmmsimmsimmmmmsimmmmmmsimmmms
blagoiavleniedeprazdnicul immmmmmmmmmmsisimmmmmmmms
sfinteiarătăriiludumnezeu immmmmsimmmmmmsisimmmmmms
cade-setotomulsă-1socotească immmmmsimsimmsimmsimmmmmmmms
șiașijdireasă-lcinsteascăcăîntru isimmmmmmmsimmsimmmmmmmmsisimmms
aceastaziditoriulatoatălumeadăruiînnoire immmmmsimmmmmmmmscimmmsimmmsimmmsimmmmms
cuapăși isimsis
cuduhulsfîntot isimmmsimmmsis
blagoveașteniedeprăzdnuireablagoveașteniilorcinste immmmmmmmmmmmsisimmmmmmmmmsimmmmmmmmmmmmmmmsimmmms
săsefacăcăiastemai isisimmsisimmmsims
cinstitdetoateprazdniceledesîmbătadireptului immmmmsisimmmsimmmmmmmmmsisimmmmmsimmmmmmmms
lazarînceapereaînvierii immmsimmmmmmmmsimmmmmms
şipurtareaînchipuirilorşi isimmmmmmsimmmmmmmmmmmsis
deminunileluhristosce-s isimmmmmmsisimmmmmsimms
prazdnicelecinstiteşiaşadepaști immmmmmmmmsimmmmmmsisimsisimmms
aceastăduminecăluminatănatăsăseprăzdnuiască immmmmsimmmmmmsimmmmmmsimmsisisimmmmmmmmmms
şisăse isisis
cinsteascăcumînseşisfintele immmmmmmmsimsimmmmsimmmmmms
paștișiiarădevăznesenie immmsisimmsisimmmmmmmms
luhristosșiderusaliice isimmmmmsisisimmmmmsis
iastevenireaasfîntuluiduhcîndpogorî immmsimmmmmscimmmmmmmsimsimmsimmmms
prelumede imsimmsis
luminareşideînţeleagere immmmmmsisisimmmmmmmmms
tuturorşiaşatoatesfintele immmmmsisimsimmmsimmmmmms
prazdniceleluhristossăsecinstească immmmmmmmmsisimmmmmsisisimmmmmmmms
şisăsefereascăcumamzis isisisimmmmmmsimsisims
şilapreobrajenie isisimmmmmmmmmms
şilavăzdvijeniacinstitei isisimmmmmmmmmsimmmmmmms
cruciprazdnicealedespuitoriuluiaceaste immmsimmmmmmmsimsimmmmmmmmmmmmsimmmmms
